season,week,date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home,score_away,score_home
2020,1,9/10/20,Texans,Chiefs,21,28,10-Apr,13-Jul,1-Jan,1-Jan,242,203,118,166,360,369,20-32,24-32,11-Apr,8-Jan,22,34,0,0,1,0,1,0,May-37,5-Jan,3-Mar,5-Mar,9,9,0,0,25:13:00,34:47:00,20,34
2020,1,9/13/20,Seahawks,Falcons,22,28,9-Mar,14-Jul,1-Jan,0-4,299,434,84,72,383,506,31-35,37-54,23-Mar,16-Feb,20,21,0,1,0,1,0,2,Jun-46,Jun-72,4-Apr,4-Mar,11,12,0,0,30:36:00,29:24:00,38,25
2020,1,9/13/20,Jets,Bills,15,31,11-Apr,14-Jul,0-0,1-Jan,202,306,52,98,254,404,21-35,33-46,13-Mar,6-Mar,15,32,1,2,1,0,2,2,Sep-95,Jul-79,2-Jan,8-Mar,11,11,0,0,18:43,41:17:00,17,27
2020,1,9/13/20,Bears,Lions,26,25,11-Feb,16-Jun,2-Jan,0-0,214,288,149,138,363,426,20-36,24-42,28-Jan,9-Jan,28,29,0,0,0,1,0,1,Jun-48,Aug-77,4-Feb,5-Feb,12,12,0,0,29:05:00,30:55:00,27,23
2020,1,9/13/20,Packers,Vikings,31,25,11-Jun,6-Mar,2-Jan,0-1,364,248,158,134,522,382,32-44,19-25,0-0,11-Feb,32,22,0,0,0,1,0,1,Jun-63,20-May,6-Mar,4-Mar,10,10,0,0,41:16:00,18:44,43,34
2020,1,9/13/20,Dolphins,Patriots,20,29,11-Apr,10-May,0-0,1-Jan,182,140,87,217,269,357,20-30,15-19,9-Jan,15-Feb,27,42,0,1,3,0,3,1,Apr-35,Mar-47,2-Jan,4-Mar,9,9,0,0,25:11:00,34:49:00,11,21
2020,1,9/13/20,Eagles,Commanders,19,18,14-May,18-May,0-2,2-Jan,208,159,57,80,265,239,24-42,17-31,Aug-62,19-Mar,17,36,1,0,2,0,3,0,20-Mar,Jul-55,2-Jan,4-Mar,15,15,0,0,30:39:00,29:21:00,17,27
2020,1,9/13/20,Raiders,Panthers,23,22,11-Jun,13-Jul,0-0,2-Jan,239,259,133,129,372,388,22-30,22-34,0-0,10-Jan,31,30,0,0,0,0,0,0,Mar-40,May-65,4-Mar,3-Feb,9,10,0,0,31:12:00,28:48:00,34,30
2020,1,9/13/20,Colts,Jaguars,27,17,12-Apr,10-May,3-Jan,0-0,357,150,88,91,445,241,36-46,19-20,6-Jan,23-Apr,22,23,0,0,2,0,2,0,May-80,Jun-61,5-Feb,2-Feb,9,10,0,0,33:23:00,26:37:00,20,27
2020,1,9/13/20,Browns,Ravens,20,23,12-Mar,11-Jun,0-3,0-0,168,270,138,111,306,381,21-39,21-26,21-Feb,14-Feb,27,30,2,1,1,0,3,1,Aug-80,Jul-66,1-Jan,6-May,11,11,0,0,30:02:00,29:58:00,6,38
2020,1,9/13/20,Chargers,Bengals,19,19,16-Jun,14-Jun,0-2,0-0,207,173,155,122,362,295,16-30,23-36,1-Feb,20-Mar,39,28,0,1,0,1,0,2,Jun-35,Jul-44,3-Jan,0-1,13,12,0,0,30:10:00,29:50:00,16,13
2020,1,9/13/20,Buccaneers,Saints,23,18,13-May,15-May,1-Jan,0-1,224,189,86,82,310,271,23-36,19-31,15-Mar,9-Jan,26,34,1,0,2,0,3,0,9-103,6-119,3-Mar,6-Mar,13,13,0,2,28:37:00,31:23:00,23,34
2020,1,9/13/20,Cardinals,49ers,29,18,14-Jul,11-Feb,0-0,0-2,224,243,180,123,404,366,26-40,19-33,6-Feb,16-Mar,36,25,0,0,1,0,1,0,9-102,May-53,2-Feb,4-Jan,12,11,0,0,31:26:00,28:34:00,24,20
2020,1,9/13/20,Cowboys,Rams,24,23,12-Mar,17-Sep,3-Jan,1-Jan,244,269,136,153,380,422,25-39,20-31,22-Mar,6-Jan,27,40,0,0,0,1,0,1,Jul-50,May-34,4-Feb,5-Feb,10,11,0,0,24:22:00,35:38:00,17,20
2020,1,9/14/20,Steelers,Giants,19,20,15-Aug,15-Aug,1-Jan,1-Jan,208,262,141,29,349,291,21-32,26-41,21-Feb,17-Mar,30,20,1,0,0,2,1,2,21-Mar,25-Apr,4-Mar,3-Jan,10,11,0,0,31:44:00,28:16:00,26,16
2020,1,9/14/20,Titans,Broncos,26,19,16-Jul,9-Mar,1-Jan,0-1,247,216,130,107,377,323,29-43,22-33,2-Jan,0-0,34,26,0,1,0,0,0,1,May-37,May-56,3-Feb,3-Feb,10,11,0,0,32:40:00,27:20:00,16,14
2020,2,9/17/20,Bengals,Browns,30,23,18-Aug,8-May,5-May,2-Jan,285,219,68,215,353,434,37-61,16-23,31-Mar,0-0,24,35,1,0,0,1,1,1,Apr-45,Aug-76,4-Feb,5-Apr,9,10,0,0,33:39:00,26:21:00,30,35
